,Название,Ссылка на продукт,Цена,Фотография,Вес,Время работы,Время зарядки,Длина хода,Емкость батареи,Рабочее напряжение,Модель,Материал,Мощность,Мотор,Производство,Гарантия,Об / мин,source
0,Беспроводная тату машинка EZ P3 Adjustable 6 Stroke green,https://tatu-shop.ru/products/ez-p3-adjustable-green,11480,https://i.siteapi.org/GTie5WQScM1p54kqACaEiHYHEf8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/6c6tse7zuskkgw4k8kg48c4cwcsw8w,228 г,3-5 часов,,,,5-12 V,,авиационный алюминий,,EZ Custom made Swiss / 10000 об/мин,,6 месяцев,,tatu-shop
1,Беспроводная тату машинка BRONC SHORT-X Wireless Pen Black,https://tatu-shop.ru/products/short-x-black,10580,https://i.siteapi.org/rW_Fk5YxDxw6mQT3yos8iqYClG4=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/kj7j5tln7zkoo0g4w8ckc8og4soc8o,166 г,до 7 часов,2 часа,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,4-12 V,BRONC SHORT-X,Авиационный алюминий с защитным покрытием,,DC Swiss Motor - 11000 об/мин,,6 месяцев,,tatu-shop
2,Машинка для перманентного макияжа и мини тату WTE Universal Princess V4 Pro & WTE Power Rca,https://tatu-shop.ru/products/wte-universal-v4-pro-power,36200,https://i.siteapi.org/Hr0n1bUyxhC9kq3BIO3_IGTaksI=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/tftxgx69v280w4csg4g8w0g448w0w8,52 г,до 5 часов,,,1300 мАч,,WTE POWER RCA,анодированный алюминий,,,WTE Professional,,,tatu-shop
3,Беспроводная тату машинка Yilong Max S-70 Wireless Pen Gold,https://tatu-shop.ru/products/yilong-max-s-70-gold,5990,https://i.siteapi.org/JzFaweheZrYd_joJ2Euq0JkG360=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/sqpdcl0ckrkg8swkskscko0cscw408,198г,до 6 часов,,от 0 до 4,,5-12V,Yilong Max S-70,авиационный алюминий,,Vertical disk bearing motor,Yilong Tattoo,,11000 об,tatu-shop
4,Беспроводная машинка для перманентного макияжа INKin Polar PMU Silver,https://tatu-shop.ru/products/polar-pmu-silver,8990,https://i.siteapi.org/r71DtO6PDesbKeCoWo_kYjT-LKE=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/a60o0v9ned4wck0gws488g88c4k84g,73г,,"1,5 ч","0 - 3,5 мм",,5 - 10V,INKin Polar Pmu,авиационный алюминий,,,INKin - EZ Tattoo,6 месяцев,,tatu-shop
5,Беспроводная тату машинка DragoArt D-T2 Wireless Tattoo Pen Red,https://tatu-shop.ru/products/dragoart--d-t2-red,7490,https://i.siteapi.org/EFXWuXwVrN3IruDKIheA705uMBI=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/c021g31g5r4kcoww8gck40s0sog8ko,,4 - 6 часов,,от 0 до 4,,4-12V,DragoArt D-T2 Wireless Tattoo Pen,авиационный алюминий,,Brushless Motor 12V-10000 об,DragoArt Tattoo,,,tatu-shop
6,Беспроводная машинка для тату и татуажа Cobra Magi P9 Multi-Mode Stroke 3.0mm Rose Gold,https://tatu-shop.ru/products/magi-p9-rose-gold,7990,https://i.siteapi.org/iapDx8d0T5w_1cCT7r-2AAaAyDs=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/8gnc4tbmvv48ko4goc0g4goso488o8,82 гр,до 4 часов,1 час,,,2,Cobra Magi P9 Multi-Mode,Авиационный алюминий,,,Cobra Tattoo,,,tatu-shop
7,Роторная тату машинка DragoArt Cavalier Blue,https://tatu-shop.ru/products/cavalier-blue,2760,https://i.siteapi.org/7ACbZQhfjpgzFTGEx41Dl_Lexbk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/mls4qik3uo00kgwosgs08o8wogwwsg,140 гр,,,,,5 - 12 V 10000 об/мин,DragoArt Cavalier,авиационный алюминий,,Тайвань (Premium Motor),DragoArt Tattoo,,,tatu-shop
8,Беспроводная тату машинка EZ P3 Pro 6 Strokes 2 Power Gloss Gray,https://tatu-shop.ru/products/ez--p3-pro-2-power-gloss-gray,15990,https://i.siteapi.org/ItHqhzYzfDo5Kehiav3Q2tJ7HZk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/q0fed0mvsogs4cksgscskk4c0c4g8w,247 г,до 5 часов,2 часа,,,4-12 V,,авиационный алюминий с защитным покрытием,,EZ Customized External Rotor Brushless Motor - 12V/10000 об/мин,,6 месяцев,,tatu-shop
9,Беспроводная тату машинка EQUALIZER WIRELESS NEUTRON ROTARY,https://tatu-shop.ru/products/equalizer-wireless-neutron,53000,https://i.siteapi.org/92Yw7TSFNKOSTIbhDYoFjFSMWx8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/9g1i97f1c7k8wkkogcs4coogwck8gs,170 г (без батареек),до 8 часов на одном заряде,2 часа,"3,5 мм (прямой привод)",,,Equalizer Wireless Neutron,,,,,,,tatu-shop
