,Тип,Назначение,Материал,Мотор,Частота переключения,Рабочее напряжение,Шаг регулировки,Ёмкость аккумулятора,Время подзарядки,Время работы,Разъем для зарядки,Ход толкателя,Ход иглы,Длина,Диаметр,Вес,Гарантия,Производитель,Название,Цена,Ссылка,Фотография,Модель,Вольтаж,Ход толкателя (Stroke),Вылет иглы,Время зарядки,Тип аккумулятора,Память,Функция Jump-start,Таймер,Дисплей,Выходное напряжение,Шаг регулировки вольтажа,Емкость аккумулятора,Jump Start,Разъём для подключения,Размер,Производcтво,Назначение машинки,Обороты в минуту,Разъём для зарядки,Размеры с аккумулятором,Размеры с RCA переходником,Производство,Двигатель,Скорость,Рекомендуемое напряжение,Время работы на одном аккумуляторе,Размер машинки без аккумулятора,Размер машинки с аккумулятором,Вес без аккумулятора,Вес с аккумулятором,Частота,SMP,Вес машинки,Вес коробки,Размеры коробки,Подключение,Размеры,Цвет,Ход толкателя регулируемый,Bluetooth,Рабочий вольтаж,Длина хода,Вес батареи,Цвет машинки,Особенность,Jump-Start,Разъем для подключения,Высота,Разъём,Ход бойка,Материал рамы,Ход толкателя (Strokes),Назначения,Рабочая частота удара,Обороты,Диаметр x Длинна,Диаметр x Длина,Соединение,Разъем,Емкость,Модель машины,Потребляемая мощность,Диаметр держателей,Размер коробки,Ход поршня,Рабочая частота,Диаметр держателя,Ход толкателя (Strokes) регулируемый,Диаметр ручки,Длина ручки,Для контурных работ,Для закраса/теней,Крутящий момент,Время полной зарядки,Длина машинки,Размер кейса,Вес кейса,Номинальный крутящий момент,Стартовое напряжение по умолчанию,Количество уровней регулировки вольтажа,Ёмкость аккумуляторов,Вес машинки с батареей,Батареи,Частота удара,Длина машинки с RCA адаптером,Вес машинки с RCA адаптером,Регулировка вольтажа с шагом,Время работы на 1 батарейке,Вес с батарейкой,Время работы на 1 аккумуляторе,Длинна,Строк,Корпус,Покрытие рамы,Модель машинки,Вход для зарядки,Тип батареи,Номинальная емкость аккумулятора,Вес без батарейки,Мощность мотора,"Спроектировано в США.

В комплекте",Система привода,Вылет иглы в зависимости от картриджей,Размер машинки,Регулировка с шагом,Значение в децибелах,Значение вибрации,Размер двигателя,Мощность двигателя,Длина хода (Strokes),Система двойного управления,Ход толкателя Strokes регулируемый,Мощность,Экран,Время работы на аккумуляторе,Регулируемый ход толкателя,Вес вместе с коробкой,Держатели,Привод,Емкость батареек,Тип батарейки,Размер батарейки,Диаметр машинки,Вес машинки с батарейкой,Батарея,Емкость АКБ,Держатель,Ход толкателя регулируемый Strokes,Частота вращения,Макс обороты,Ход толкателя регулируемый (Stroke),Емкость блока питания,Jump-start,Длина с блоком,Длина с RCA,Вес машинки с блоком,Вес машинки с RCA,Напряжение зарядки,Ход толкателя (Stroke) регулируемый,Вес без батарейкой,Уникальность,Ход толкателя регулируемый (Strokes),Мощность Двигателя,Ход толкателя Strokes,Время зарядки от разъема,АКБ,Вес с кейсом,Рама,- Модель,Вес машинки без батарейки,Вес машинки батарейкой,Габариты коробки,Частотный режим,Точечный режим,Вес с держателем 32мм,Вес с держателем 40мм,Xод иглы,Пусковое напряжение,Размер машинки с RCA адаптером,Вес с RCA адаптером,Для контура,Для закраса,Xод толкателя,Разъём подключения,Ход,Рекомендованный рабочий вольтаж,Память режимов,Ход толкателя (строк),Ёмкость аккумуляторов машинки,Ёмкость аккумулятора педали,Время работы максимум (при 5В),Время работы минимум (при 11В),Длина машины вместе с аккумулятором,Особенности,Диапазон игл,Рекомендуемый вольтаж,Размеры машинки,Длина с RCA переходником,Вес с блоком,Вес с RCA переходником,Диаметр в нижней части,Диаметр в верхней части,Длина машинки с блоком,Ход толкателя Stroke,Входное напряжение,Режим зарядки,Цикл полной зарядки,Частота вращения двигателя,Напряжение батареи,Вес с аккумулятором,Об/мин,Частота переключателя,Шаг регулировки переключаемый,"минимальная вибрация.

Основные особенности",Шаг,Регулируемый ход игл,Короткий ход,Выходная мощность,Общее время работы,Длина (без картриджа),Диаметр корпуса,Вес (без держателя),Вес с держателем (PMU),Разъем для зарядки,Регулировка частоты ударов,Ёмкость аккумулятора машинки,Ход толкатея,Габариты,Вес машинки с аккумулятором,Ёмкость съёмных аккумуляторов по,Длинна с аккумулятором,Длинна с разъёмом RCA,Диаметр в нижней части ручки,Вес с разъёмом RCA,Размер коробкм,Длинна с переходником RCA,Длина с переходником RCA,Длина с аккумулятором,Вес машинки с держателем,Сменные эксцентрики с ходом,Moтор,Об / мин,Выступ иглы,Емкость батареи,Рабочее время Powerpack,Гарантия на блок питания,В комплекте,Вывод,Размеры (Ø х L),Время заряда батареи,Вес (с блоком питания),Время работы блока питания,Ручка,Она универсальна,К машинке подойдут держатели,Тип подключения,Рекомендуемое рабочее напряжение,Максимальное напряжение,Вес всего комплекта,Частота Переключения,Кол-во оборотов,Размеры (Ø X L),Время работы Powerpack,Размеры(Ø X L),Тип машинки,"Длина хода, мм","Диаметр, мм","Размер, мм","Мощность двигателя, В",Оборотов в минуту,"Децибелы, дБ","Величина вибрации, м/с²","Рабочий вольтаж, В","Регулировка вольтажа, В","Емкость аккумулятора, мАч","Время работы, часов","Время зарядки, часов","Вес, г","Вес с аккумулятором, г",Питание,Провод для зарядки в комплекте,RCA переходник,"Частота переключения, Гц","Регулировка хода иглы, мм",Процент зарядки,Показание вольтажа,Сетевой шнур в комплекте,"Сила тока, А",Времени работы,Комплектация,Функция памяти,Start UP,"Рекомендуемый вольтаж, В",Авто выключение,Push Mode,"Мощность, В","Напряжение зарядки, В",source
0,Роторная,Универсальная,авиационный алюминий,EZ Custom made Swiss / 10000 об/мин,60-160 Гц,5-12 V,"0,1V",2000mA/ч,2 часа,3-5 часов,USB Type—C,"шесть вариантов 2,5 мм, 2,6 мм, 2,8 мм, 3,2 мм, 3,6 мм, 4,0 мм","до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",141 мм,32 мм,228 г,6 месяцев,EZ Tattoo,Беспроводная тату машинка EZ P3 Adjustable 6 Stroke green,11480,https://tatu-shop.ru/products/ez-p3-adjustable-green,https://i.siteapi.org/GTie5WQScM1p54kqACaEiHYHEf8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/6c6tse7zuskkgw4k8kg48c4cwcsw8w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
1,Беспроводная роторная,Универсальная,Авиационный алюминий с защитным покрытием,DC Swiss Motor - 11000 об/мин,,,"0,1V",1620 mA/ч,,до 7 часов,USB Type—C,,,111 мм,34 мм,166 г,6 месяцев,Hummingbird BRONC,Беспроводная тату машинка BRONC SHORT-X Wireless Pen Black,10580,https://tatu-shop.ru/products/short-x-black,https://i.siteapi.org/rW_Fk5YxDxw6mQT3yos8iqYClG4=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/kj7j5tln7zkoo0g4w8ckc8og4soc8o,BRONC SHORT-X,4-12 V,4,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",2 часа,полимерно-литиевый,2 режима (Liner и Shader),да,Да,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
2,,,анодированный алюминий,,,,,,,до 5 часов,USB Type—C,,,,,52 г,,,Машинка для перманентного макияжа и мини тату WTE Universal Princess V4 Pro & WTE Power Rca,36200,https://tatu-shop.ru/products/wte-universal-v4-pro-power,https://i.siteapi.org/Hr0n1bUyxhC9kq3BIO3_IGTaksI=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/tftxgx69v280w4csg4g8w0g448w0w8,WTE POWER RCA,,,,,Li-ion,,,,,4-12 V,0,1300 мАч,Да,RCA,55мм х 28мм,WTE Professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
3,Беспроводная,,авиационный алюминий,Vertical disk bearing motor,,,"0,1V",1600 mA/ч,2 часа,до 6 часов,,"3,5 мм",,,,198г,,,Беспроводная тату машинка Yilong Max S-70 Wireless Pen Gold,5990,https://tatu-shop.ru/products/yilong-max-s-70-gold,https://i.siteapi.org/JzFaweheZrYd_joJ2Euq0JkG360=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/sqpdcl0ckrkg8swkskscko0cscw408,Yilong Max S-70,5-12V,,от 0 до 4,,,,,,,,,,,,,,Универсальная,11000 об,TYPE-C,32 х 140 мм,32 х 90 мм,Yilong Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
4,,,авиационный алюминий,,60 - 160 Гц,,"0,1V",580 mA/ч,,,,"2,5 мм",,132 мм,"18,5 мм",73г,6 месяцев,,Беспроводная машинка для перманентного макияжа INKin Polar PMU Silver,8990,https://tatu-shop.ru/products/polar-pmu-silver,https://i.siteapi.org/r71DtO6PDesbKeCoWo_kYjT-LKE=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/a60o0v9ned4wck0gws488g88c4k84g,INKin Polar Pmu,5 - 10V,,"0 - 3,5 мм","1,5 ч",,,,,,,,,,,,,,,,,,INKin - EZ Tattoo,Japan motor,10000 об/мин ± 10%,6-8V,2-3 ч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
5,Беспроводная роторная машинка,,авиационный алюминий,Brushless Motor 12V-10000 об,,,"0,1V",1300 mA/ч,2-3 часа,4 - 6 часов,,4,,,,,,,Беспроводная тату машинка DragoArt D-T2 Wireless Tattoo Pen Red,7490,https://tatu-shop.ru/products/dragoart--d-t2-red,https://i.siteapi.org/EFXWuXwVrN3IruDKIheA705uMBI=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/c021g31g5r4kcoww8gck40s0sog8ko,DragoArt D-T2 Wireless Tattoo Pen,4-12V,,от 0 до 4,,,,,,,,,,,,,,Универсальная,,TYPE-C,,,DragoArt Tattoo,,,,,33 х 90 мм,33 х 137 мм,145г,210г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
6,беспроводная роторная машинка,Универсальная,Авиационный алюминий,,,,"0,1V",500 mA/ч,,до 4 часов,USB Type—C,,от 0 до 4,133 мм,20 мм,,,,Беспроводная машинка для тату и татуажа Cobra Magi P9 Multi-Mode Stroke 3.0mm Rose Gold,7990,https://tatu-shop.ru/products/magi-p9-rose-gold,https://i.siteapi.org/iapDx8d0T5w_1cCT7r-2AAaAyDs=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/8gnc4tbmvv48ko4goc0g4goso488o8,Cobra Magi P9 Multi-Mode,2,3,,1 час,полимерно-литиевый,5 режимом памяти,,Да,Цветной OLED,,,,,,,,,,,,,Cobra Tattoo,Бесщеточный двигатель 10000 об/мин,,,,,,,,26-135 HZ,Да,82 гр,170 гр,165x80x30 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
7,Роторная,Универсальная,авиационный алюминий,Тайвань (Premium Motor),,5 - 12 V 10000 об/мин,,,,,,"3,5 мм","до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,140 гр,,,Роторная тату машинка DragoArt Cavalier Blue,2760,https://tatu-shop.ru/products/cavalier-blue,https://i.siteapi.org/7ACbZQhfjpgzFTGEx41Dl_Lexbk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/mls4qik3uo00kgwosgs08o8wogwwsg,DragoArt Cavalier,,,,,,,,,,,,,,,,DragoArt Tattoo,,,,,,,,,,,,,,,,,,,,разъем RCA,25 x 122 мм,Синий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
8,Роторная беспроводная,Универсальная,авиационный алюминий с защитным покрытием,EZ Customized External Rotor Brushless Motor - 12V/10000 об/мин,,,"0,1V",1600 mA/ч,,до 5 часов,USB Type—C,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",135 мм,32-39 мм,247 г,6 месяцев,EZ TATTOO,Беспроводная тату машинка EZ P3 Pro 6 Strokes 2 Power Gloss Gray,15990,https://tatu-shop.ru/products/ez--p3-pro-2-power-gloss-gray,https://i.siteapi.org/ItHqhzYzfDo5Kehiav3Q2tJ7HZk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/q0fed0mvsogs4cksgscskk4c0c4g8w,,4-12 V,,,2 часа,полимерно-литиевый,,,,OLED Digital Display,,,,,,,,,,,,,,,,,,,,,,60 - 170 Hz,,,,,,,,"2,0/2,4/2,8/3,3/3,7/4,2 mm",Да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
9,,,,,,,,,,до 8 часов на одном заряде,USB Type—C,,,130мм,32 мм,170 г (без батареек),,EQUALISER by Kwadron,Беспроводная тату машинка EQUALIZER WIRELESS NEUTRON ROTARY,53000,https://tatu-shop.ru/products/equalizer-wireless-neutron,https://i.siteapi.org/92Yw7TSFNKOSTIbhDYoFjFSMWx8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/9g1i97f1c7k8wkkogcs4coogwck8gs,Equalizer Wireless Neutron,,,,2 часа,,,,,,,,,,,,,Универсальная,,,,,,"4,5 Вт",,,,,,,,,,,,,,,,,,5-12В (рекомендуем 6-10В),"3,5 мм (прямой привод)",30 г,черный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
